01/01/2004,51.02423924,ND,34.3137748,ND,47.21711154,ND,56.911,ND,53.318,ND,63.99,ND,
01/07/2009,40.73661719,1.413636082,22.43416254,1.015098455,34.22119046,1.856971595,50.815,2.703,41.463,0.211,57.382,2.448,
01/08/2009,41.71763574,0.98101855,20.80672963,-1.627432912,35.29459258,1.073402114,50.519,-0.296,43.615,2.152,58.562,1.18,
01/09/2009,43.53338315,1.815747408,24.99509818,4.188368545,36.12481497,0.830222391,51.819,1.3,45.112,1.497,59.582,1.02,
01/10/2009,44.64018767,1.106804518,28.35662964,3.361531466,37.74919092,1.624375955,52.428,0.609,45.591,0.479,59.158,-0.424,
01/11/2009,44.82426224,0.184074574,26.40864014,-1.947989501,39.25131379,1.502122865,53.21,0.782,46.014,0.423,59.335,0.177,
01/12/2009,46.87129414,2.047031901,29.14677673,2.738136587,41.9414034,2.690089607,53.91,0.7,47.824,1.81,60.4,1.065,
01/01/2010,46.96394413,0.09264999,26.62990535,-2.516871382,41.94034341,-0.001059982,54.5,0.59,47.632,-0.192,60.704,0.304,
01/02/2010,48.70546146,1.741517329,32.30756954,5.677664191,40.89828059,-1.042062819,56.189,1.689,50.214,2.582,61.548,0.844,
01/03/2010,51.95104395,3.245582482,37.57140541,5.263835872,46.10469104,5.206410445,58.506,2.317,53.452,3.238,63.856,2.308,
01/04/2010,54.47181797,2.520774029,40.79835773,3.226952318,50.64639705,4.541706008,60.318,1.812,56.503,3.051,64.347,0.491,
01/05/2010,55.57239848,1.100580507,44.20714221,3.408784485,52.29400672,1.647609674,60.413,0.095,58.145,1.642,65.266,0.919,
01/06/2010,56.18803447,0.61563599,45.42066302,1.21352081,54.14112106,1.847114341,61.049,0.636,58.087,-0.058,64.411,-0.855,
01/07/2010,56.46557726,0.277542792,46.02619555,0.605532526,54.58998812,0.448867062,60.39,-0.659,59.351,1.264,64.517,0.106,
01/08/2010,56.97561548,0.510038216,47.96664349,1.940447941,55.06176274,0.471774614,59.704,-0.686,58.302,-1.049,63.789,-0.728,
01/09/2010,57.09091105,0.115295571,48.31982026,0.353176775,56.08855129,1.026788556,59.321,-0.383,58.349,0.047,63.093,-0.696,
01/10/2010,57.46558265,0.3746716,49.37686898,1.057048717,56.43009962,0.341548324,59.457,0.136,58.272,-0.077,63.563,0.47,
01/11/2010,57.92159565,0.456012996,50.03784689,0.660977909,57.23415612,0.804056505,59.591,0.134,58.779,0.507,63.529,-0.034,
01/12/2010,58.31419597,0.392600321,50.1807056,0.142858714,56.98275001,-0.251406116,59.766,0.175,59.424,0.645,63.99,0.461,
01/01/2011,58.36749437,0.053298401,50.14319702,-0.037508586,57.10567435,0.122924341,59.171,-0.595,58.879,-0.545,63.612,-0.378,
01/02/2011,58.3456445,-0.021849866,50.32836714,0.185170122,57.55093133,0.445256979,60.172,1.001,57.838,-1.041,63.902,0.29,
01/03/2011,57.4791666,-0.866477906,50.14712331,-0.181243833,56.23549612,-1.315435209,59.239,-0.933,58.152,0.314,63.599,-0.303,
01/04/2011,56.7751159,-0.704050698,49.15415583,-0.992967474,55.38485309,-0.850643034,58.227,-1.012,58.778,0.626,62.971,-0.628,
01/05/2011,56.7521575,-0.022958393,50.59302716,1.438871326,54.70078614,-0.684066942,58.565,0.338,58.751,-0.027,63.39,0.419,
01/06/2011,56.8989139,0.146756392,50.15878777,-0.434239393,54.74834196,0.047555819,58.95,0.385,59.34,0.589,63.598,0.208,
01/07/2011,56.78455049,-0.114363406,51.71055621,1.551768442,54.81082734,0.062485374,58.812,-0.138,58.002,-1.338,62.922,-0.676,
01/08/2011,55.08386052,-1.700689975,47.81145053,-3.899105675,52.80999991,-2.000827426,56.558,-2.254,56.811,-1.191,61.088,-1.834,
